fetched_at,rate_date,base_currency,target_currency,rate
2026-06-18 06:00:00 UTC,2026-06-18,USD,JPY,146.5334
2026-06-18 06:00:00 UTC,2026-06-18,USD,AUD,1.5063
2026-06-19 06:00:00 UTC,2026-06-19,USD,ZAR,17.5799
2026-06-19 06:00:00 UTC,2026-06-19,USD,EUR,0.9051
2026-06-19 06:00:00 UTC,2026-06-19,USD,GBP,0.7988
2026-06-19 06:00:00 UTC,2026-06-19,USD,JPY,146.7722
2026-06-19 06:00:00 UTC,2026-06-19,USD,AUD,1.5033
2026-06-22 06:00:00 UTC,2026-06-22,USD,ZAR,17.5978
2026-06-22 06:00:00 UTC,2026-06-22,USD,EUR,0.9053
2026-06-22 06:00:00 UTC,2026-06-22,USD,GBP,0.8011
2026-06-22 06:00:00 UTC,2026-06-22,USD,JPY,147.0475
2026-06-22 06:00:00 UTC,2026-06-22,USD,AUD,1.5007
2026-06-23 06:00:00 UTC,2026-06-23,USD,ZAR,17.713
2026-06-23 06:00:00 UTC,2026-06-23,USD,EUR,0.9022
2026-06-23 06:00:00 UTC,2026-06-23,USD,GBP,0.8006
2026-06-23 06:00:00 UTC,2026-06-23,USD,JPY,147.3561
2026-06-23 06:00:00 UTC,2026-06-23,USD,AUD,1.4965
2026-06-24 06:00:00 UTC,2026-06-24,USD,ZAR,17.7104
2026-06-24 06:00:00 UTC,2026-06-24,USD,EUR,0.8985
2026-06-24 06:00:00 UTC,2026-06-24,USD,GBP,0.8016
2026-06-24 06:00:00 UTC,2026-06-24,USD,JPY,147.6736
2026-06-24 06:00:00 UTC,2026-06-24,USD,AUD,1.4974
2026-06-25 06:00:00 UTC,2026-06-25,USD,ZAR,17.8005
2026-06-25 06:00:00 UTC,2026-06-25,USD,EUR,0.897
2026-06-25 06:00:00 UTC,2026-06-25,USD,GBP,0.8028
2026-06-25 06:00:00 UTC,2026-06-25,USD,JPY,147.7868
2026-06-25 06:00:00 UTC,2026-06-25,USD,AUD,1.4984
2026-06-26 06:00:00 UTC,2026-06-26,USD,ZAR,17.79
2026-06-26 06:00:00 UTC,2026-06-26,USD,EUR,0.8998
2026-06-26 06:00:00 UTC,2026-06-26,USD,GBP,0.8055
2026-06-26 06:00:00 UTC,2026-06-26,USD,JPY,147.7557
2026-06-26 06:00:00 UTC,2026-06-26,USD,AUD,1.5003
2026-06-29 06:00:00 UTC,2026-06-29,USD,ZAR,17.6846
2026-06-29 06:00:00 UTC,2026-06-29,USD,EUR,0.9014
2026-06-29 06:00:00 UTC,2026-06-29,USD,GBP,0.8063
2026-06-29 06:00:00 UTC,2026-06-29,USD,JPY,148.3474
2026-06-29 06:00:00 UTC,2026-06-29,USD,AUD,1.5042
2026-06-30 06:00:00 UTC,2026-06-30,USD,ZAR,17.6329
2026-06-30 06:00:00 UTC,2026-06-30,USD,EUR,0.9005
2026-06-30 06:00:00 UTC,2026-06-30,USD,GBP,0.8074
2026-06-30 06:00:00 UTC,2026-06-30,USD,JPY,147.7745
2026-06-30 06:00:00 UTC,2026-06-30,USD,AUD,1.5037
2026-07-01 06:00:00 UTC,2026-07-01,USD,ZAR,17.5532
2026-07-01 06:00:00 UTC,2026-07-01,USD,EUR,0.8974
2026-07-01 06:00:00 UTC,2026-07-01,USD,GBP,0.8047
2026-07-01 06:00:00 UTC,2026-07-01,USD,JPY,148.0964
2026-07-01 06:00:00 UTC,2026-07-01,USD,AUD,1.4993
2026-07-02 06:00:00 UTC,2026-07-02,USD,ZAR,17.4926
2026-07-02 06:00:00 UTC,2026-07-02,USD,EUR,0.8965
2026-07-02 06:00:00 UTC,2026-07-02,USD,GBP,0.8069
2026-07-02 06:00:00 UTC,2026-07-02,USD,JPY,147.5931
2026-07-02 06:00:00 UTC,2026-07-02,USD,AUD,1.4987
2026-07-03 06:00:00 UTC,2026-07-03,USD,ZAR,17.5045
2026-07-03 06:00:00 UTC,2026-07-03,USD,EUR,0.8996
2026-07-03 06:00:00 UTC,2026-07-03,USD,GBP,0.8089
2026-07-03 06:00:00 UTC,2026-07-03,USD,JPY,148.0299
2026-07-03 06:00:00 UTC,2026-07-03,USD,AUD,1.496
2026-07-06 06:00:00 UTC,2026-07-06,USD,ZAR,17.4842
2026-07-06 06:00:00 UTC,2026-07-06,USD,EUR,0.8985
2026-07-06 06:00:00 UTC,2026-07-06,USD,GBP,0.8112
2026-07-06 06:00:00 UTC,2026-07-06,USD,JPY,148.5792
2026-07-06 06:00:00 UTC,2026-07-06,USD,AUD,1.4918
2026-07-07 06:00:00 UTC,2026-07-07,USD,ZAR,17.4064
2026-07-07 06:00:00 UTC,2026-07-07,USD,EUR,0.8963
2026-07-07 06:00:00 UTC,2026-07-07,USD,GBP,0.8096
2026-07-07 06:00:00 UTC,2026-07-07,USD,JPY,148.5611
2026-07-07 06:00:00 UTC,2026-07-07,USD,AUD,1.4929
2026-07-08 06:00:00 UTC,2026-07-08,USD,ZAR,17.3495
2026-07-08 06:00:00 UTC,2026-07-08,USD,EUR,0.8924
2026-07-08 06:00:00 UTC,2026-07-08,USD,GBP,0.8091
2026-07-08 06:00:00 UTC,2026-07-08,USD,JPY,148.4042
2026-07-08 06:00:00 UTC,2026-07-08,USD,AUD,1.4937
2026-07-09 06:00:00 UTC,2026-07-09,USD,ZAR,17.4582
2026-07-09 06:00:00 UTC,2026-07-09,USD,EUR,0.8939
2026-07-09 06:00:00 UTC,2026-07-09,USD,GBP,0.8092
2026-07-09 06:00:00 UTC,2026-07-09,USD,JPY,148.5453
2026-07-09 06:00:00 UTC,2026-07-09,USD,AUD,1.4958
2026-07-10 06:00:00 UTC,2026-07-10,USD,ZAR,17.3512
2026-07-10 06:00:00 UTC,2026-07-10,USD,EUR,0.8971
2026-07-10 06:00:00 UTC,2026-07-10,USD,GBP,0.8108
2026-07-10 06:00:00 UTC,2026-07-10,USD,JPY,148.9947
2026-07-10 06:00:00 UTC,2026-07-10,USD,AUD,1.4994
2026-07-13 06:00:00 UTC,2026-07-13,USD,ZAR,17.3254
2026-07-13 06:00:00 UTC,2026-07-13,USD,EUR,0.8963
2026-07-13 06:00:00 UTC,2026-07-13,USD,GBP,0.8085
2026-07-13 06:00:00 UTC,2026-07-13,USD,JPY,149.1559
2026-07-13 06:00:00 UTC,2026-07-13,USD,AUD,1.4941
2026-07-14 06:00:00 UTC,2026-07-14,USD,ZAR,17.2215
2026-07-14 06:00:00 UTC,2026-07-14,USD,EUR,0.8939
2026-07-14 06:00:00 UTC,2026-07-14,USD,GBP,0.8064
2026-07-14 06:00:00 UTC,2026-07-14,USD,JPY,148.964
2026-07-14 06:00:00 UTC,2026-07-14,USD,AUD,1.4888
2026-07-15 06:00:00 UTC,2026-07-15,USD,ZAR,17.1016
2026-07-15 06:00:00 UTC,2026-07-15,USD,EUR,0.8911
2026-07-15 06:00:00 UTC,2026-07-15,USD,GBP,0.804
2026-07-15 06:00:00 UTC,2026-07-15,USD,JPY,148.8003
2026-07-15 06:00:00 UTC,2026-07-15,USD,AUD,1.4831
2026-07-16 06:00:00 UTC,2026-07-16,USD,ZAR,17.1914
2026-07-16 06:00:00 UTC,2026-07-16,USD,EUR,0.8921
2026-07-16 06:00:00 UTC,2026-07-16,USD,GBP,0.8019
2026-07-16 06:00:00 UTC,2026-07-16,USD,JPY,148.503
2026-07-16 06:00:00 UTC,2026-07-16,USD,AUD,1.4813
2026-07-17 06:00:00 UTC,2026-07-17,USD,ZAR,17.1588
2026-07-17 06:00:00 UTC,2026-07-17,USD,EUR,0.889
2026-07-17 06:00:00 UTC,2026-07-17,USD,GBP,0.804
2026-07-17 06:00:00 UTC,2026-07-17,USD,JPY,149.0947
2026-07-17 06:00:00 UTC,2026-07-17,USD,AUD,1.4808
2026-07-20 06:00:00 UTC,2026-07-20,USD,ZAR,17.155
2026-07-20 06:00:00 UTC,2026-07-20,USD,EUR,0.8857
2026-07-20 06:00:00 UTC,2026-07-20,USD,GBP,0.8016
2026-07-20 06:00:00 UTC,2026-07-20,USD,JPY,148.9059
2026-07-20 06:00:00 UTC,2026-07-20,USD,AUD,1.478
2026-07-21 06:00:00 UTC,2026-07-21,USD,ZAR,17.2339
2026-07-21 06:00:00 UTC,2026-07-21,USD,EUR,0.883
2026-07-21 06:00:00 UTC,2026-07-21,USD,GBP,0.7988
2026-07-21 06:00:00 UTC,2026-07-21,USD,JPY,149.4471
2026-07-21 06:00:00 UTC,2026-07-21,USD,AUD,1.4784
2026-07-22 06:00:00 UTC,2026-07-22,USD,ZAR,17.1491
2026-07-22 06:00:00 UTC,2026-07-22,USD,EUR,0.8834
2026-07-22 06:00:00 UTC,2026-07-22,USD,GBP,0.7959
2026-07-22 06:00:00 UTC,2026-07-22,USD,JPY,149.4808
2026-07-22 06:00:00 UTC,2026-07-22,USD,AUD,1.4841
2026-07-23 06:00:00 UTC,2026-07-23,USD,ZAR,17.2363
2026-07-23 06:00:00 UTC,2026-07-23,USD,EUR,0.8849
2026-07-23 06:00:00 UTC,2026-07-23,USD,GBP,0.7945
2026-07-23 06:00:00 UTC,2026-07-23,USD,JPY,149.3208
2026-07-23 06:00:00 UTC,2026-07-23,USD,AUD,1.4801
2026-07-25 09:57:55 UTC,2026-07-24,USD,ZAR,16.8501
2026-07-25 09:57:55 UTC,2026-07-24,USD,EUR,0.87897
2026-07-25 09:57:55 UTC,2026-07-24,USD,GBP,0.75053
2026-07-25 09:57:55 UTC,2026-07-24,USD,JPY,163.82
2026-07-25 09:57:55 UTC,2026-07-24,USD,AUD,1.431
2026-07-26 08:36:52 UTC,2026-07-24,USD,ZAR,16.8501
2026-07-26 08:36:52 UTC,2026-07-24,USD,EUR,0.87897
2026-07-26 08:36:52 UTC,2026-07-24,USD,GBP,0.75053
2026-07-26 08:36:52 UTC,2026-07-24,USD,JPY,163.82
2026-07-26 08:36:52 UTC,2026-07-24,USD,AUD,1.431
2026-07-27 10:05:23 UTC,2026-07-24,USD,ZAR,16.8501
2026-07-27 10:05:23 UTC,2026-07-24,USD,EUR,0.87897
2026-07-27 10:05:23 UTC,2026-07-24,USD,GBP,0.75053
2026-07-27 10:05:23 UTC,2026-07-24,USD,JPY,163.82
2026-07-27 10:05:23 UTC,2026-07-24,USD,AUD,1.431
